index,lat,lon,depth
1.1350000e+03, 4.5201217e+01,-1.2397192e+02,-1.6642963e+00
1.1360000e+03, 4.5201212e+01,-1.2397194e+02,-1.6764158e+00
1.1370000e+03, 4.5201206e+01,-1.2397197e+02,-1.6945186e+00
1.1380000e+03, 4.5201200e+01,-1.2397199e+02,-1.7076229e+00
1.1390000e+03, 4.5201195e+01,-1.2397202e+02,-1.7261688e+00
1.1400000e+03, 4.5201189e+01,-1.2397204e+02,-1.7398639e+00
1.1410000e+03, 4.5201184e+01,-1.2397207e+02,-1.7588848e+00
1.1420000e+03, 4.5201178e+01,-1.2397209e+02,-1.7728874e+00
1.1430000e+03, 4.5201172e+01,-1.2397212e+02,-1.7927688e+00
1.1440000e+03, 4.5201167e+01,-1.2397214e+02,-1.8066968e+00
1.1450000e+03, 4.5201161e+01,-1.2397217e+02,-1.8271437e+00
1.1460000e+03, 4.5201156e+01,-1.2397219e+02,-1.8415334e+00
1.1470000e+03, 4.5201150e+01,-1.2397222e+02,-1.8626614e+00
1.1480000e+03, 4.5201144e+01,-1.2397224e+02,-1.8781681e+00
1.1490000e+03, 4.5201139e+01,-1.2397226e+02,-1.8933326e+00
1.1500000e+03, 4.5201133e+01,-1.2397229e+02,-1.9155762e+00
1.1510000e+03, 4.5201127e+01,-1.2397231e+02,-1.9319560e+00
1.1520000e+03, 4.5201122e+01,-1.2397234e+02,-1.9543602e+00
1.1530000e+03, 4.5201116e+01,-1.2397236e+02,-1.9713446e+00
1.1540000e+03, 4.5201111e+01,-1.2397239e+02,-1.9945115e+00
1.1550000e+03, 4.5201105e+01,-1.2397241e+02,-2.0120696e+00
1.1560000e+03, 4.5201099e+01,-1.2397244e+02,-2.0366774e+00
1.1570000e+03, 4.5201094e+01,-1.2397246e+02,-2.0540337e+00
1.1580000e+03, 4.5201088e+01,-1.2397249e+02,-2.0793050e+00
1.1590000e+03, 4.5201083e+01,-1.2397251e+02,-2.0970799e+00
1.1600000e+03, 4.5201077e+01,-1.2397254e+02,-2.1228984e+00
1.1610000e+03, 4.5201071e+01,-1.2397256e+02,-2.1417270e+00
1.1620000e+03, 4.5201066e+01,-1.2397259e+02,-2.1672360e+00
1.1630000e+03, 4.5201060e+01,-1.2397261e+02,-2.1863881e+00
1.1640000e+03, 4.5201055e+01,-1.2397264e+02,-2.2124883e+00
1.1650000e+03, 4.5201049e+01,-1.2397266e+02,-2.2318983e+00
1.1660000e+03, 4.5201043e+01,-1.2397268e+02,-2.2513228e+00
1.1670000e+03, 4.5201038e+01,-1.2397271e+02,-2.2777421e+00
1.1680000e+03, 4.5201032e+01,-1.2397273e+02,-2.2971017e+00
1.1690000e+03, 4.5201026e+01,-1.2397276e+02,-2.3240556e+00
1.1700000e+03, 4.5201021e+01,-1.2397278e+02,-2.3425382e+00
1.1710000e+03, 4.5201015e+01,-1.2397281e+02,-2.3691254e+00
1.1720000e+03, 4.5201010e+01,-1.2397283e+02,-2.3872494e+00
1.1730000e+03, 4.5201004e+01,-1.2397286e+02,-2.4132771e+00
1.1740000e+03, 4.5200998e+01,-1.2397288e+02,-2.4314349e+00
1.1750000e+03, 4.5200993e+01,-1.2397291e+02,-2.4562412e+00
1.1760000e+03, 4.5200987e+01,-1.2397293e+02,-2.4737900e+00
1.1770000e+03, 4.5200982e+01,-1.2397296e+02,-2.4978740e+00
1.1780000e+03, 4.5200976e+01,-1.2397298e+02,-2.5148578e+00
1.1790000e+03, 4.5200970e+01,-1.2397301e+02,-2.5385959e+00
1.1800000e+03, 4.5200965e+01,-1.2397303e+02,-2.5545487e+00
1.1810000e+03, 4.5200959e+01,-1.2397306e+02,-2.5774258e+00
1.1820000e+03, 4.5200954e+01,-1.2397308e+02,-2.5927604e+00
1.1830000e+03, 4.5200948e+01,-1.2397310e+02,-2.6082003e+00
1.1840000e+03, 4.5200942e+01,-1.2397313e+02,-2.6298073e+00
1.1850000e+03, 4.5200937e+01,-1.2397315e+02,-2.6443598e+00
1.1860000e+03, 4.5200931e+01,-1.2397318e+02,-2.6654841e+00
1.1870000e+03, 4.5200925e+01,-1.2397320e+02,-2.6800136e+00
